City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
288,Itaituba,-4.2761,-55.9836,86.16,74,75,5.75,BR,2022-05-08 19:48:17,broken clouds
289,Ossora,59.2353,163.0719,33.26,95,100,1.63,RU,2022-05-08 19:48:17,overcast clouds
290,Beecher,43.09,-83.6944,67.77,37,0,11.5,US,2022-05-08 19:48:18,clear sky
291,Puerto Santander,8.3636,-72.4063,92.61,53,25,4.99,CO,2022-05-08 19:48:18,scattered clouds
292,Lagunas,-5.2269,-75.6753,82.85,85,42,1.32,PE,2022-05-08 19:48:19,scattered clouds
293,Taian,36.1853,117.12,48.81,67,98,3.53,CN,2022-05-08 19:48:20,overcast clouds
294,Kulhudhuffushi,6.6221,73.07,84.78,72,100,18.14,MV,2022-05-08 19:48:20,overcast clouds
295,Zabol,32.25,67.25,71.17,19,0,6.85,AF,2022-05-08 19:48:21,clear sky
296,Byron Bay,-28.65,153.6167,66.09,74,100,11.01,AU,2022-05-08 19:48:21,moderate rain
297,Lar,26.2039,83.9717,87.48,41,17,6.93,IN,2022-05-08 19:48:22,few clouds
298,Gornyy,55.1153,83.9059,33.84,89,15,4.5,RU,2022-05-08 19:48:23,few clouds
299,Bud,39.447,-86.1758,71.67,43,72,11.27,US,2022-05-08 19:48:23,broken clouds
300,Hithadhoo,-0.6,73.0833,83.16,78,100,17.96,MV,2022-05-08 19:48:24,overcast clouds
301,Chokurdakh,70.6333,147.9167,11.64,83,51,7.65,RU,2022-05-08 19:48:25,broken clouds
302,Poum,-20.2333,164.0167,76.06,65,100,12.06,NC,2022-05-08 19:48:25,overcast clouds
303,Paeroa,-37.3667,175.6667,55.98,91,72,1.34,NZ,2022-05-08 19:48:26,broken clouds
304,Wanning,18.8003,110.3967,77.14,87,100,1.28,CN,2022-05-08 19:48:26,overcast clouds
305,Kirakira,-10.4544,161.9205,80.92,83,99,11.63,SB,2022-05-08 19:48:27,overcast clouds
306,East Wenatchee Bench,47.4257,-120.2812,57.58,35,0,8.01,US,2022-05-08 19:48:28,clear sky
307,Kendallville,41.4414,-85.265,65.98,49,0,8.05,US,2022-05-08 19:48:28,clear sky
308,Sorong,-0.8833,131.25,79.36,87,100,4.7,ID,2022-05-08 19:48:29,overcast clouds
309,Sibu,2.3,111.8167,75.51,100,40,3.44,MY,2022-05-08 19:48:29,scattered clouds
310,La Libertad,-2.2333,-80.9,78.46,73,20,14.97,EC,2022-05-08 19:48:30,few clouds
311,Susanville,40.4163,-120.653,41.92,56,75,18.01,US,2022-05-08 19:48:31,broken clouds
312,Progreso,21.2833,-89.6667,89.08,59,0,15.77,MX,2022-05-08 19:48:31,clear sky
313,Sabzevar,36.2126,57.6819,65.48,55,75,9.22,IR,2022-05-08 19:48:32,broken clouds
314,Pacifica,37.6138,-122.4869,61.2,71,75,21.85,US,2022-05-08 19:48:32,haze
315,Nabire,-3.3667,135.4833,77.23,90,76,3.04,ID,2022-05-08 19:49:34,broken clouds
316,Galle,6.0367,80.217,81.77,86,98,16.53,LK,2022-05-08 19:49:34,overcast clouds
317,Sabang,5.8933,95.3214,81.91,77,100,6.51,ID,2022-05-08 19:49:35,overcast clouds
318,Mount Gambier,-37.8333,140.7667,39.11,100,40,5.75,AU,2022-05-08 19:49:35,scattered clouds
319,Teacapan,22.55,-105.75,81.66,61,97,10.76,MX,2022-05-08 19:49:36,overcast clouds
320,Koutsouras,35.0339,25.9469,67.1,71,54,10.65,GR,2022-05-08 19:49:37,broken clouds
321,Eyrarbakki,63.863,-21.1481,51.85,89,100,18.41,IS,2022-05-08 19:49:37,light rain
322,Dabakala,8.3667,-4.4333,83.77,65,54,9.53,CI,2022-05-08 19:49:38,light rain
323,Jacarau,-6.6122,-35.2928,76.32,80,100,11.3,BR,2022-05-08 19:49:38,overcast clouds
324,Sao Domingos Do Maranhao,-5.5758,-44.3853,81.21,74,100,1.88,BR,2022-05-08 19:47:56,overcast clouds
325,Souillac,-20.5167,57.5167,75.58,83,40,4.61,MU,2022-05-08 19:49:39,scattered clouds
326,Geraldton,-28.7667,114.6,55.81,94,0,6.91,AU,2022-05-08 19:49:40,clear sky
327,Kaduy,59.2,37.15,37.67,95,93,3.98,RU,2022-05-08 19:49:41,overcast clouds
328,Leshukonskoye,64.8989,45.7622,34.47,94,100,6.22,RU,2022-05-08 19:49:41,overcast clouds
